versao,bloco,p,r,eligible,d1,Delta,J,zeros_rel_sup,razao_Zp_Z,polos_rel_sup,arq_rel_sup,B2_rel_sup,theta_rel,orcamento2,orcamento_anterior
m4-v1,b01,5,3,False,1,0.5,7,0.000364852677233,0.07027286005627185,6.229509e-09,5.752253e-09,0.000364864658992,1.0860866662535987e-10,0.0003648647676006666,0.005191954997608666
m4-v1,b01,127,1,False,1,0.5,7,0.000114012911223,0.07027286005627185,1.946662e-09,1.797524e-09,0.000114016655406,5.3047184344192945e-11,0.00011401670845318434,0.0016224354330471842
m4-v1,b01,2,7,False,1,0.5,7,0.00078389672842,0.07027286005627185,1.3384283e-08,1.2358884e-08,0.000783922471584,5.312691004145676e-10,0.0007839230028531004,0.0111550686032691
m4-v1,b01,131,1,False,1,0.5,7,0.000101559647759,0.07027286005627185,1.734035e-09,1.601187e-09,0.000101562982977,1.5835723115059725e-12,0.00010156298456057231,0.0014452219855835722
m4-v1,b01,137,1,False,1,0.5,7,0.000125173017467,0.07027286005627185,2.13721e-09,1.973474e-09,0.000125177128148,1.0832747096641432e-10,0.00012517723647547096,0.001781246899327471
m4-v1,b01,139,1,False,1,0.5,7,0.000127759880471,0.07027286005627185,2.181378e-09,2.014258e-09,0.000127764076105,2.042727016271655e-11,0.00012776409653227018,0.00181805858942727
m4-v1,b01,2,1,True,1,1,6,6.4685156417e-05,0.0874468777378746,1.331884e-09,1.275104e-09,6.4687763402e-05,1.0327883501847577e-12,6.468776443478835e-05,0.0007397106250327883
m4-v1,b01,3,1,True,1,1,6,5.1677907536e-05,0.08744687773787459,1.064062e-09,1.0187e-09,5.1679990295e-05,6.482437708576743e-13,5.167999094324377e-05,0.0005909655236482437
m4-v1,b01,2,2,False,1,1,6,9.4825783815e-05,0.0874468777378746,1.952487e-09,1.86925e-09,9.482960555e-05,6.769698598622787e-12,9.48296123196986e-05,0.0010843854137696986
m4-v1,b01,5,1,True,1,1,6,5.4071825371e-05,0.0874468777378746,1.113353e-09,1.06589e-09,5.4074004611e-05,1.5552030601782402e-12,5.4074006166203064e-05,0.000618341301555203
m4-v1,b01,7,1,True,1,1,6,4.6151651464e-05,0.0874468777378746,9.50275e-10,9.09764e-10,4.61535115e-05,2.6086162132699824e-12,4.615351410861621e-05,0.0005277697236086163
m4-v1,b01,2,3,False,1,1,6,0.000138617043691,0.0874468777378746,2.85416e-09,2.732483e-09,0.000138622630331,6.156050550727541e-12,0.00013862263648705054,0.0015851627461560506
m4-v1,b01,3,2,False,1,1,6,9.5207244838e-05,0.0874468777378746,1.960342e-09,1.87677e-09,9.5211081946e-05,1.0523214991090786e-11,9.521109246921499e-05,0.001088747636523215
m4-v1,b01,11,1,True,1,1,6,4.3286178787e-05,0.08744687773787461,8.91274e-10,8.53278e-10,4.3287923336e-05,1.2883374201095334e-12,4.3287924624337416e-05,0.0004950014532883374
m4-v1,b01,13,1,True,1,1,6,6.0295224522e-05,0.08744687773787459,1.241495e-09,1.188568e-09,6.0297654582e-05,1.6361475474595886e-12,6.029765621814755e-05,0.0006895093206361476
m4-v1,b01,2,4,False,1,1,6,0.000202096197874,0.0874468777378746,4.161211e-09,3.983813e-09,0.000202104342895,2.300858968818624e-11,0.0002021043659035897,0.00231108208200859
m4-v1,b01,17,1,True,1,1,6,5.7022545325e-05,0.0874468777378746,1.174109e-09,1.124056e-09,5.7024843487e-05,5.479910482038294e-12,5.7024848966910486e-05,0.0006520844244799105
m4-v1,b01,19,1,True,1,1,6,6.3670459749e-05,0.08744687773787459,1.310992e-09,1.255102e-09,6.367302584e-05,4.154247089812187e-12,6.36730299942471e-05,0.000728107009154247
m4-v1,b01,23,1,True,1,1,6,5.8296285705e-05,0.0874468777378746,1.200336e-09,1.149164e-09,5.8298635202e-05,4.5275587908518056e-12,5.8298639729558786e-05,0.0006666503505275588
m4-v1,b01,5,2,False,1,1,6,0.000133230870026,0.0874468777378746,2.743257e-09,2.626308e-09,0.000133236239589,1.3800680281521871e-11,0.00013323625338968026,0.0015235688728006801
m4-v1,b01,3,3,False,1,1,6,0.000173771117385,0.0874468777378746,3.577991e-09,3.425456e-09,0.000173778120829,8.78864970544946e-12,0.0001737781296176497,0.0019871690697886497
m4-v1,b01,29,1,True,1,1,6,5.8742733493e-05,0.08744687773787459,1.209528e-09,1.157965e-09,5.8745100983e-05,1.1106229938079083e-11,5.8745112089229934e-05,0.00067175573510623
m4-v1,b01,31,1,True,1,1,6,6.4735937029e-05,0.08744687773787459,1.33293e-09,1.276105e-09,6.4738546061e-05,1.010215732878239e-11,6.473855616315732e-05,0.0007402913391021573
