versao,bloco,p,r,eligible,d1,Delta,L2_sobre_L0,zeros_rel_sup,orcamento_rel,P0_rel,fr_P0,P1a_rel,fr_P1a,P1b_rel,fr_P1b,P2_rel,fr_P2,P3_rel,fr_P3,fr_proximos,fr_distantes,fr_L0,fr_L2
m4-v1,b01,3,3,False,1,0.5,127.2752815,0.003091791714,0.0030917988725944743,6.719157e-06,0.0021732243334942366,0.001912141153,0.618457297957962,0.001172888387,0.3793555624762459,1.4e-11,4.528118731102624e-09,4.3009e-08,1.3910704178999481e-05,0.6206305222914563,0.3793694777085437,0.0021732243334942366,0.9978267756665058
m4-v1,b01,29,1,True,1,0.5,127.2752815,0.001045169644,0.0010451720601492558,2.271389e-06,0.002173225181360007,0.000646392795,0.6184572960174047,0.000396490919,0.3793555614434035,6e-12,5.740694829533841e-09,1.454e-08,1.3911617136903674e-05,0.6206305211987648,0.37936947880123517,0.002173225181360007,0.99782677481864
m4-v1,b01,31,1,True,1,0.5,127.2752815,0.001151802652,0.0011518053189064727,2.503127e-06,0.002173225580453557,0.000712340758,0.618457296527614,0.000436942744,0.37935556144549204,6e-12,5.209225693590994e-09,1.6023e-08,1.391123721473475e-05,0.6206305221080676,0.3793694778919324,0.002173225580453557,0.9978267744195465
m4-v1,b01,2,5,False,1,0.5,127.2752815,0.005229861322,0.005229873417948984,1.1365661e-05,0.0021732241612175255,0.003234445908,0.6184572982967518,0.001983976987,0.3793555626415348,2.3e-11,4.39782215112725e-09,7.275e-08,1.3910502673674236e-05,0.6206305224579693,0.37936947754203065,0.0021732241612175255,0.9978267758387824
m4-v1,b01,37,1,True,1,0.5,127.2752815,0.001245940477,0.0012459433626189908,2.707709e-06,0.0021732249933055386,0.000770560983,0.6184572962314947,0.000472654452,0.37935556157753036,7e-12,5.618245887257003e-09,1.7333e-08,1.3911579423403662e-05,0.6206305212248002,0.3793694787751998,0.0021732249933055386,0.9978267750066945
m4-v1,b01,41,1,True,1,0.5,127.2752815,0.001205465792,0.0012054685818332254,2.619749e-06,0.002173225490384257,0.000745529118,0.6184572961231373,0.000457300155,0.37935556177430424,6e-12,4.977329103782669e-09,1.677e-08,1.3911634845072561e-05,0.6206305216135215,0.3793694783864785,0.002173225490384257,0.9978267745096158
m4-v1,b01,43,1,True,1,0.5,127.2752815,0.001015765105,0.0010157674570286175,2.207486e-06,0.0021732248687167206,0.000628207344,0.6184572960785616,0.000385336144,0.37935556146503635,6e-12,5.906877421782209e-09,1.4131e-08,1.3911680807867399e-05,0.6206305209472782,0.3793694790527218,0.0021732248687167206,0.9978267751312833
m4-v1,b01,47,1,True,1,0.5,127.2752815,0.00132297575,0.001322978814154573,2.875124e-06,0.0021732250112172316,0.000818204009,0.6184572966720769,0.000501878211,0.3793555619619046,7e-12,5.2911022545534104e-09,1.8404e-08,1.3911063698971568e-05,0.6206305216832942,0.37936947831670575,0.0021732250112172316,0.9978267749887828
m4-v1,b01,7,2,False,1,0.5,127.2752815,0.002361987148,0.0023619926308978685,5.133128e-06,0.0021732243510753655,0.001460788193,0.6184572979265238,0.000896032965,0.3793555623207255,1.1e-11,4.6570956075572294e-09,3.2857e-08,1.3910744579773443e-05,0.6206305222775992,0.3793694777224008,0.0021732243510753655,0.9978267756489246
m4-v1,b01,53,1,True,1,0.5,127.2752815,0.001395493827,0.0013954970550167584,3.032722e-06,0.0021732249404883075,0.000863053343,0.6184572967714844,0.000529388347,0.3793555620674359,7e-12,5.016145424281603e-09,1.9413e-08,1.3911204445939824e-05,0.6206305217119726,0.37936947828802736,0.0021732249404883075,0.9978267750595117
