versao,bloco,p,r,eligible,d1,Delta,U1,U2,n_termos,abs_c,theta,err_num_est,S_abs,theta_rel,margem,margem_rel,B_rel_sup,orcamento_rel,orcamento_rel_com_err
m4-v1,b01,3,4,False,1,1,6.0,7.0,111,0.03885546139622887,8.498700109852507e-12,5.238818932771609e-20,5.238814637449944e-11,2.1872601185164027e-10,3.884696269611902e-08,9.997812739881483e-07,0.003598281206,0.003598281424726012,0.003598281424726013
m4-v1,b01,83,1,False,1,1,6.0,7.0,111,0.15439008898017337,1.6477010798560948e-12,5.25645203153647e-20,5.256447699916854e-11,1.0672324180522307e-11,1.5438844127909352e-07,9.999893276758195e-07,0.000870530178,0.0008705301886723242,0.0008705301886723246
m4-v1,b01,89,1,False,1,1,6.0,7.0,111,0.15145009428891956,7.76544764082863e-12,5.2804234115310187e-20,5.280419366337682e-11,5.1273970328566303e-11,1.5144232884127872e-07,9.999487260296714e-07,0.000801160159,0.0008011602102739703,0.0008011602102739706
m4-v1,b01,97,1,False,1,1,6.0,7.0,111,0.14785224441209735,-6.603536338682853e-12,6.21527038473929e-20,6.215265381151209e-11,-4.4663078094893957e-11,1.4784564087575864e-07,9.99955336921905e-07,0.001048951968,0.0010489520126630782,0.0010489520126630786
m4-v1,b01,101,1,False,1,1,6.0,7.0,111,0.14617479278578105,2.286678788195006e-12,7.201105948537182e-20,7.201100322177954e-11,1.5643454966590105e-11,1.4617250610699284e-07,9.999843565450333e-07,0.000830742385,0.0008307424006434549,0.0008307424006434555
m4-v1,b01,103,1,False,1,1,6.0,7.0,111,0.145363663339395,1.883149506913014e-12,6.346163697763584e-20,6.34615810435566e-11,1.2954747174445085e-11,1.4536178018988808e-07,9.999870452528254e-07,0.000790807809,0.0007908078219547472,0.0007908078219547477
m4-v1,b01,107,1,False,1,1,6.0,7.0,111,0.14379312149769535,-6.385413973804327e-12,6.610008036790364e-20,6.610002916781645e-11,-4.4406950119006005e-11,1.4378673608372154e-07,9.99955593049881e-07,0.000918813293,0.0009188133374069501,0.0009188133374069506
m4-v1,b01,109,1,False,1,1,6.0,7.0,111,0.14303243005044233,-2.097021654627634e-13,8.064904376596715e-20,8.064898266712884e-11,-1.4661162184604503e-12,1.4303222034827685e-07,9.999985338837815e-07,0.001095134764,0.0010951347654661163,0.0010951347654661167
m4-v1,b01,113,1,False,1,1,6.0,7.0,111,0.14155725660115417,-2.4324835105706494e-12,8.417187321274196e-20,8.417180728934427e-11,-1.718374295303217e-11,1.4155482411764358e-07,9.999828162570468e-07,0.000788320837,0.000788320854183743,0.0007883208541837436
m4-v1,b01,11,2,False,1,1,6.0,7.0,111,0.06938852466955447,1.292286878548853e-11,9.044691923010609e-20,9.044684447670351e-11,1.862392787140304e-10,6.937560180076898e-08,9.99813760721286e-07,0.001683065303,0.0016830654892392787,0.00168306548923928
m4-v1,b01,5,3,False,1,1,6.0,7.0,111,0.04582150488104508,1.530192908195304e-11,1.0836198749568151e-19,1.0836190753648806e-10,3.3394645421789644e-10,4.580620295196312e-08,9.99666053545782e-07,0.003336986856,0.0033369871899464544,0.0033369871899464566
m4-v1,b01,127,1,False,1,1,6.0,7.0,111,0.13682617124428062,6.603305316019229e-12,9.839351216407575e-20,9.839343597046442e-11,4.8260542964621246e-11,1.368195679389646e-07,9.999517394570354e-07,0.001042775921,0.0010427759692605428,0.0010427759692605437
m4-v1,b01,2,7,False,1,1,6.0,7.0,111,0.01950161612988795,-1.157649819618857e-13,9.969016610190315e-20,9.969008842019579e-11,-5.936173760720561e-12,1.950150036490599e-08,9.999940638262393e-07,0.007169614593,0.007169614598936174,0.007169614598936179
m4-v1,b01,131,1,False,1,1,6.0,7.0,111,0.1355834491603077,-4.602276252682469e-12,1.0611096416325371e-19,1.0611087955381312e-10,-3.394423346791353e-11,1.35578846884055e-07,9.99966055766532e-07,0.000928876863,0.0009288768969442335,0.0009288768969442343
m4-v1,b01,137,1,False,1,1,6.0,7.0,111,0.13379912176069506,1.0932587363594245e-11,1.168699026681418e-19,1.1686981296482533e-10,8.17089620599125e-11,1.3378818917333145e-07,9.9991829103794e-07,0.001144847607,0.001144847688708962,0.001144847688708963
m4-v1,b01,139,1,False,1,1,6.0,7.0,111,0.13322434272608064,4.891429572652177e-12,1.1406512626308522e-19,1.1406503073572114e-10,3.671573432123683e-11,1.3321945129650798e-07,9.999632842656786e-07,0.00116850737,0.0011685074067157345,0.0011685074067157354
m4-v1,b01,2,1,True,1,2,6.0,8.0,367,0.1560129290391036,9.410262892611613e-14,3.7387142884610904e-21,3.738711445882311e-12,6.031719903324803e-13,1.560128349364747e-07,9.999993968280095e-07,0.000598636737,0.0005986367376031721,0.0005986367376031721
m4-v1,b01,3,1,True,1,2,6.0,8.0,367,0.20189889986939866,-3.1891817240139683e-13,4.42632630491969e-21,4.426322973278441e-12,-1.5795934133751786e-12,2.0189858095122624e-07,9.999984204065866e-07,0.000478259553,0.0004782595545795934,0.00047825955457959343
m4-v1,b01,2,2,False,1,2,6.0,8.0,367,0.1103178000763258,1.1984638489591595e-12,9.107637977650543e-21,9.107630869692665e-12,1.0863739560886602e-11,1.1031660161247683e-07,9.99989136260439e-07,0.000877576881,0.0008775768918637396,0.0008775768918637396
m4-v1,b01,5,1,True,1,2,6.0,8.0,367,0.22910752440522542,6.756981278100033e-14,9.555585896137486e-21,9.55557927282255e-12,2.9492620531086856e-13,2.2910745683541264e-07,9.999997050737946e-07,0.00050041436,0.0005004143602949262,0.0005004143602949262
m4-v1,b01,7,1,True,1,2,6.0,8.0,367,0.23411211608563706,6.40229854006381e-13,1.1748105665807861e-20,1.1748096635617712e-11,2.7347147371569104e-12,2.3411147585578304e-07,9.999972652852628e-07,0.000427116136,0.00042711613873471475,0.0004271161387347148
m4-v1,b01,2,3,False,1,2,6.0,8.0,367,0.0780064645195518,-5.426241097880576e-13,1.2700085036930028e-20,1.270007553076683e-11,-6.956142841880142e-12,7.800592189544201e-08,9.99993043857158e-07,0.001282848481,0.001282848487956143,0.001282848487956143
