block,prime,repetition,period,C_real,C_imag,theory,ratio_error,difference_from_saved,same_sampling_C_real,same_sampling_C_imag,same_sampling_difference_from_saved
full,89,1,4.48863636973214,-0.15145009432706638,-1.2482307132559735e-10,-0.15145009428891956,2.5187718577512896e-10,1.3493105560572894e-10,-0.15145009432276949,1.0039849309292924e-11,1.0080096153849026e-15
full,97,1,4.574710978503383,-0.14785224467581395,3.7531859165912086e-11,-0.14785224441209735,1.7836496724044082e-09,2.924650303064435e-10,-0.14785224438662484,-6.101838961674132e-12,2.6939611695886507e-15
full,101,1,4.61512051684126,-0.14617479253561402,3.6623720957897634e-10,-0.14617479278578105,-1.7114238914928137e-09,3.405936794420731e-10,-0.14617479275755607,1.0788142879757435e-10,3.569100714205229e-15
full,103,1,4.634728988229636,-0.14536366325816613,5.620053801556233e-10,-0.145363663339395,-5.587975637766363e-10,5.621210157260901e-10,-0.1453636633717708,1.1486626234739306e-11,6.637363649022009e-15
full,107,1,4.672828834461906,-0.14379312148343668,6.77765824218957e-10,-0.14379312149769535,-9.916101273432787e-11,5.868878967033749e-10,-0.14379312156541516,9.663284826757515e-11,5.511408136099476e-15
full,109,1,4.6913478822291435,-0.14303242960621007,7.441295803032969e-10,-0.14303243005044233,-3.105814938564322e-09,7.822837274799154e-10,-0.14303243007411023,1.172008293631368e-10,4.686955391056989e-15
full,113,1,4.727387818712341,-0.14155725672313366,-2.611040507007606e-10,-0.14155725660115417,8.616971580721611e-10,2.3217356393711587e-10,-0.1415572566871385,-3.173966321963986e-11,1.9225992096295086e-15
full,11,2,4.795790545596741,-0.06938852259898248,-1.0602381903368836e-09,-0.06938852466955447,-2.98402653697849e-08,2.0400474232906182e-09,-0.06938852440242108,-1.0660944955353561e-10,1.858821006550814e-15
full,5,3,4.828313737302301,-0.04582150330677343,-3.5096519789256648e-09,-0.04582150488104508,-3.435661166673043e-08,3.5577326879308483e-09,-0.04582150468883808,-2.3133410789733242e-10,3.399346420169114e-15
full,127,1,4.844187086458591,-0.13682616964788133,-3.728847030003233e-09,-0.13682617124428062,-1.1667353416733306e-08,3.74348283643195e-09,-0.13682617116556628,-3.0682232672316947e-10,1.1554391586038292e-14
full,2,7,4.852030263919617,-0.019501620283593084,-4.747692018987378e-09,-0.01950161612988795,2.1299286712128662e-07,5.887509167206985e-09,-0.019501616462081022,-2.689912321449259e-10,5.016707891592482e-15
full,131,1,4.875197323201151,-0.13558345089680968,1.4087039924150767e-09,-0.1355834491603077,1.280762496058685e-08,2.191431522050136e-09,-0.13558344918360676,4.222585687244253e-11,1.2954330973629485e-14
full,137,1,4.919980925828125,-0.13379913629436407,-1.4427164219693822e-08,-0.13379912176069506,1.086230523306142e-07,1.8914631101172486e-08,-0.13379912285634918,-1.1161451679753505e-09,5.930176443910078e-15
full,139,1,4.9344739331306915,-0.13322434198842625,5.887970202649466e-09,-0.13322434272608064,-5.536933911365338e-09,5.839661052603493e-09,-0.13322434278168702,1.0243463622365927e-10,3.919436382425975e-15
