n,unfolded_x,spacing_s
851,850.60902653,0.67717515
852,851.28620167,1.44539969
853,852.73160136,0.58148290
854,853.31308426,0.92378456
855,854.23686882,1.27413769
856,855.51100651,0.83197200
857,856.34297851,1.69708378
858,858.04006228,0.63872744
859,858.67878972,0.82356350
860,859.50235322,0.65173851
861,860.15409174,1.14686762
862,861.30095935,1.04419825
863,862.34515761,1.32053620
864,863.66569381,1.06923992
865,864.73493373,0.79743793
866,865.53237166,0.94546088
867,866.47783254,1.08101938
868,867.55885192,1.03167658
869,868.59052851,0.86251645
870,869.45304495,0.31269632
871,869.76574127,2.15282587
872,871.91856714,0.85800983
873,872.77657697,0.80259413
874,873.57917110,0.99504092
875,874.57421201,0.79051673
876,875.36472874,0.75742284
877,876.12215158,1.48006456
878,877.60221615,0.77896002
879,878.38117617,1.32801672
880,879.70919290,0.69634285
881,880.40553575,1.41581704
882,881.82135278,0.99188116
883,882.81323394,0.28321503
884,883.09644897,1.28677350
885,884.38322247,0.71153859
886,885.09476105,1.45260406
887,886.54736511,1.48713292
888,888.03449804,0.79604450
889,888.83054253,0.26519995
890,889.09574248,1.29522422
891,890.39096671,1.31242462
892,891.70339132,0.52950287
893,892.23289420,1.05737159
894,893.29026579,1.21776153
895,894.50802732,1.23470210
896,895.74272942,0.97463555
897,896.71736497,0.92065204
898,897.63801701,0.85344054
899,898.49145756,0.72259508
900,899.21405264,0.78655937
901,900.00061201,1.80746192
902,901.80807393,0.94002694
903,902.74810087,0.64463733
904,903.39273819,1.46219978
905,904.85493797,0.36823838
906,905.22317635,1.38962104
907,906.61279739,0.77386546
908,907.38666285,0.90514699
909,908.29180984,0.86812976
910,909.15993960,1.83668310
911,910.99662269,0.73232549
912,911.72894819,0.93442302
913,912.66337120,0.66081708
914,913.32418828,0.83671993
915,914.16090821,1.44449408
916,915.60540229,0.53626874
917,916.14167104,1.67477209
918,917.81644312,0.86242177
919,918.67886489,0.63400173
920,919.31286662,1.40845845
921,920.72132507,1.19993749
922,921.92126255,0.13762758
923,922.05889013,1.04395131
924,923.10284144,1.19138681
925,924.29422825,1.57386424
926,925.86809249,0.91572802
927,926.78382051,0.80825382
